Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	15:16:38	15:16:38	15:16:38			15:16:38	15:16:38	15:16:38	15:16:38	15:16:38	15:16:38	15:16:38	15:16:41	15:16:41	15:16:41	15:16:41	15:16:41	15:16:41			15:16:43	15:16:43		00:00:00		00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:02	00:00:05
1	15:16:44	15:16:44	15:16:44	15:16:44	15:16:44	15:16:44	15:16:44	15:16:44	15:16:44	15:16:44	15:16:44	15:16:44	15:16:46	15:16:46	15:16:46	15:16:46	15:16:46	15:16:46			15:16:47	15:16:47		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:03
2	15:16:47	15:16:47	15:16:47	15:16:47	15:16:47	15:16:47			15:16:47	15:16:47	15:16:47	15:16:47	15:16:48	15:16:48	15:16:48	15:16:48	15:16:48	15:16:48			15:16:49	15:16:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
3	15:16:49	15:16:49	15:16:49	15:16:49	15:16:49	15:16:49			15:16:49	15:16:49	15:16:49	15:16:49	15:16:51	15:16:51	15:16:51	15:16:51	15:16:51	15:16:51			15:16:52	15:16:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
4	15:16:52	15:16:52	15:16:52	15:16:52	15:16:52	15:16:52			15:16:52	15:16:52	15:16:52	15:16:52	15:16:54	15:16:54	15:16:54	15:16:54	15:16:54	15:16:54			15:16:55	15:16:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
5	15:16:55	15:16:55	15:16:55	15:16:55	15:16:55	15:16:55			15:16:55	15:16:55	15:16:55	15:16:55	15:16:57	15:16:57	15:16:57	15:16:57	15:16:57	15:16:57			15:16:57	15:16:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
6	15:16:58	15:16:58	15:16:58	15:16:58	15:16:58	15:16:58			15:16:58	15:16:58	15:16:58	15:16:58	15:16:59	15:16:59	15:16:59	15:16:59	15:16:59	15:16:59			15:17:00	15:17:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
7	15:17:00	15:17:00	15:17:00	15:17:00	15:17:00	15:17:00			15:17:00	15:17:00	15:17:00	15:17:00	15:17:02	15:17:02	15:17:02	15:17:02	15:17:02	15:17:02			15:17:03	15:17:03		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
8	15:17:03	15:17:03	15:17:03	15:17:03	15:17:03	15:17:03			15:17:03	15:17:03	15:17:03	15:17:03	15:17:05	15:17:05	15:17:05	15:17:05	15:17:05	15:17:05			15:17:06	15:17:06		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
9	15:17:06	15:17:06	15:17:06	15:17:06	15:17:06	15:17:06			15:17:06	15:17:06	15:17:06	15:17:06	15:17:08	15:17:08	15:17:08	15:17:08	15:17:08	15:17:08			15:17:09	15:17:09		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
10	15:17:09	15:17:09	15:17:09	15:17:09	15:17:09	15:17:09	15:17:09	15:17:09	15:17:09	15:17:09	15:17:09	15:17:09	15:17:11	15:17:11	15:17:11	15:17:11	15:17:11	15:17:11	15:17:11	15:17:11	15:17:11	15:17:11		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02
